,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
447,3k,blood,4,4.89,1.64,34,63,75
573,3k,bow,26,4.95,2.22,15,25,30
223,3k,bathe,2,5,2.11,0,2,3
267,3k,bee,44,5,1.97,55,54,30
12,3k,add,1,5.1,1.48,46,31,26
674,3k,bride,4,5.1,1.55,0,1,4
237,lcnl,be,674,5.11,3.23,3366,3618,4161
612,3k,branch,24,5.11,2.11,54,59,48
187,3k,bark,17,5.17,1.76,58,47,45
353,3k,birth,1,5.21,2.25,0,6,13
643,3k,break,19,5.3,2.18,56,77,100
125,3k,back,406,5.305215,2.35,2096,1959,1784
273,3k,beep,33,5.32,2.38,,,
412,3k,bless,7,5.33,1.81,1,2,5
243,3k,beak,2,5.42,2.73,6,7,9
737,3k,bruise,,5.45,2.14,0,0,1
146,lcnl,bake,13,5.5,2.53,52,12,7
160,unl,bam,,5.5,2.85,,,
721,3k,broom,11,5.5,2.46,7,9,16
519,3k,bone,12,5.53,1.74,34,29,48
297,3k,bend,8,5.56,1.85,22,35,29
532,3k,boom,22,5.56,2.43,8,28,15
676,3k,bridge,21,5.58,2.34,31,52,44
241,3k,bead,,5.63,1.64,0,0,0
422,3k,blink,15,5.63,2.27,3,3,5
165,3k,bang,17,5.74,2.88,64,22,16
256,3k,beast,3,5.74,2.79,26,13,12
602,3k,brain,18,5.76,2.19,3,25,42
182,3k,bare,4,5.78,2.86,13,26,37
281,3k,beg,9,5.78,2.32,5,9,15
6,3k,ache,1,5.79,2.27,6,7,6
648,3k,breath,18,5.81,2.02,48,105,104
61,3k,ape,3,5.89,2.64,19,11,2
37,3k,aisle,2,5.95,1.54,3,7,10
607,3k,brake,5,5.95,2.22,3,6,4
83,lcnl,arts,,5.965949,2.25,1,1,1
625,3k,brave,12,6,2.03,76,62,49
386,3k,blank,1,6.05,1.79,0,7,10
444,lcnl,blonde,,6.06,1.21,2,3,2
84,lcnl,as,844,6.10449,2.3,2243,3346,4616
110,3k,axe,6,6.11,1.49,0,3,8
130,3k,badge,,6.11,1.81,0,1,1
276,3k,beer,2,6.11,2.68,0,10,10
413,lcnl,blessed,1,6.11,2.69,0,2,4
258,3k,beat,15,6.15,1.66,65,85,84
489,3k,bob,3,6.157775,1.97,281,91,66
162,3k,band,23,6.16,2.54,61,47,39
433,3k,blob,,6.16,2.29,1,0,1
557,3k,boss,1,6.16,2.36,125,38,23
565,3k,bounce,3,6.17,4.9,5,11,14
81,3k,art,5,6.21,2.32,41,25,38
622,3k,brat,,6.21,3.08,,,
286,3k,belch,1,6.22,2.26,,,
659,3k,breeze,15,6.22,3,5,9,22
550,lcnl,bored,6,6.25,1.68,6,14,18
547,3k,bop,1,6.31,2.77,,,
109,lcnl,ax,1,6.31763,1.73,11,11,14
482,3k,board,8,6.37,1.8,81,80,72
9,3k,act,11,6.42,2.22,27,67,67
202,3k,base,4,6.42,2.57,20,26,31
340,3k,bill,4,6.4242,2.07,442,263,117
671,3k,brick,8,6.43,2.09,9,20,19
168,3k,bank,8,6.44,2.41,55,87,66
356,3k,bit,44,6.47,2.55,117,139,143
379,3k,blame,2,6.48,1.89,8,16,15
279,3k,beet,1,6.56,2.06,0,0,1
269,3k,beef,8,6.58,2.43,0,6,8
684,3k,bright,48,6.58,2.87,109,139,153
503,3k,boil,5,6.6,1.79,0,4,4
646,3k,breast,1,6.6,2.54,5,3,3
120,3k,babe,1,6.61,3.11,6,16,11
85,3k,ash,,6.626683,2.54,3,4,5
418,3k,blimp,,6.63,2.48,,,
457,3k,blouse,1,6.65,2.58,0,3,3
31,3k,aim,1,6.72,2.11,0,6,9
371,3k,blade,6,6.72,1.99,7,6,9
443,3k,blond,,6.72,3.3,0,7,9
218,3k,batch,,6.74,1.85,0,0,1
449,3k,bloom,1,6.84,2.09,5,4,6
176,3k,bar,7,6.9,2.62,39,28,34
313,3k,bet,16,7,2.43,99,75,44
420,3k,blind,6,7,2.6,19,35,36
393,3k,blast,2,7.06,3.02,2,11,13
143,3k,bait,1,7.11,2.08,8,6,7
543,3k,booth,2,7.16,1.61,4,12,9
72,lcnl,ark,2,7.17,3.33,0,1,3
599,3k,braid,1,7.22,3.67,0,1,1
150,3k,bald,1,7.26,3.35,18,5,6
511,3k,bolt,,7.28,2.63,3,2,8
24,3k,aid,3,7.33,2.2,1,12,11
395,3k,blaze,25,7.47,2.37,0,1,4
614,3k,brand,4,7.72,2.35,3,5,4
284,3k,beige,3,7.74,2.28,,,
144,lcnl,baits,,7.78,2.41,,,
594,3k,brag,,7.79,2.46,6,4,1
25,3k,aide,,7.83,3.31,0,1,1
92,3k,ass,,7.84,3.11,0,0,2
540,3k,boost,,7.89,2.87,0,0,1
589,3k,brace,,7.89,1.78,0,7,7
365,lcnl,blab,1,7.95,3.65,,,
476,3k,blush,,7.95,1.81,1,3,2
398,lcnl,bleach,1,8,3.25,0,1,0
513,3k,bomb,1,8,2.49,0,1,3
647,lcnl,breasts,,8.027632,2.63,0,1,0
462,unl,blub,7,8.08,2.81,,,
526,unl,boob,,8.16,4.51,,,
151,3k,bale,,8.2,2.5,0,0,1
588,lcnl,bra,,8.21,2.18,,,
11,lcnl,ad,4,8.22,3.04,10,8,8
485,3k,boast,2,8.22,2.13,0,1,4
68,3k,arch,2,8.26,3.11,1,6,4
385,3k,bland,,8.35,3.67,0,0,0
452,3k,blot,,8.38,3.52,0,0,1
716,3k,brook,4,8.42,3.69,24,15,8
679,3k,brief,2,8.44,2.64,0,1,7
213,3k,bass,,8.63,3.02,1,0,3
704,3k,broil,,8.65,2.83,,,
232,3k,bay,3,8.67,2.52,5,26,30
739,lcnl,brunch,1,8.68,3.22,,,
76,unl,armed,,8.72,3.61,0,1,3
474,lcnl,blurt,,8.76,2.17,,,
247,3k,beam,3,8.78,2.9,8,8,11
465,3k,bluff,,8.82,2.6,0,1,3
5,3k,ace,,8.83,3.65,0,0,1
205,3k,bash,4,8.84,2.69,,,
27,lcnl,aids,2,8.89,2.51,0,0,0
549,3k,bore,4,8.907281,4.64,0,2,4
470,3k,blur,,8.95,3.34,1,3,3
373,lcnl,blah,4,8.98188,4.65,,,
201,3k,bas,,9,1.41,,,
567,3k,bound,1,9,3.09,0,7,11
601,3k,braille,,9,1.63,1,4,4
657,3k,breed,,9,3.45,0,0,0
724,3k,broth,3,9,3.73,0,0,0
621,3k,brass,5,9.05,3.54,1,8,9
102,lcnl,awe,,9.06,3.87,0,2,3
664,3k,brew,2,9.06,2.08,,,
629,3k,brawl,,9.2,2.59,,,
508,3k,bold,3,9.21,2.68,2,5,6
185,3k,barge,1,9.28,3.37,5,6,2
453,lcnl,blotch,,9.28,4.13,,,
499,3k,bog,1,9.37,3,5,0,0
66,3k,arc,,9.418817,3.52,0,0,2
406,3k,bleep,,9.47,2.27,,,
164,lcnl,bane,,9.6,2.92,,,
114,lcnl,aye,3,9.685242,3.78,2,7,8
28,3k,ail,,9.71,2.37,,,
667,3k,bribe,,9.74,2.68,,,
464,lcnl,blues,,9.81,3.16,1,1,3
727,3k,brow,,9.82,3.64,0,1,4
481,3k,boar,2,9.83,3.82,0,1,3
323,3k,bid,3,9.84,3.3,0,1,2
177,lcnl,barb,,9.877068,3.62,,,
69,unl,arched,,9.89,4.57,0,0,1
733,unl,browse,,9.89,2.97,,,
46,lcnl,alms,,9.91,3.99,,,
363,lcnl,biz,,9.93,3.05,,,
611,3k,bran,,9.95,3.3,2,1,3
178,unl,barbed,1,10,3.5,0,0,0
709,3k,bronze,,10,3.06,0,0,2
710,unl,bronzed,,10,3.77,,,
632,3k,brawn,,10.06,2.33,,,
161,3k,ban,,10.11,3.56,0,0,0
357,3k,bitch,,10.11,2.19,0,1,1
42,3k,ale,2,10.16,4.31,0,2,1
135,3k,bail,,10.16,5.04,0,0,1
427,3k,bliss,1,10.16,2.29,,,
410,3k,blend,,10.17,3.6,0,0,0
696,3k,brisk,,10.17,2.87,2,3,4
517,3k,bond,,10.207435,4.16,1,0,0
389,lcnl,blare,,10.22,2.26,,,
344,3k,bind,,10.24,2.95,0,0,0
158,lcnl,balm,,10.28,5.27,,,
289,3k,belle,,10.36729,3.84,0,2,1
429,3k,blitz,,10.4,3.2,0,0,2
103,unl,awed,1,10.41,3.14,0,0,0
546,3k,booze,,10.42,2.93,,,
703,lcnl,brogue,,10.44,3.91,,,
694,3k,brink,,10.47,3.94,0,0,0
714,3k,brood,,10.47,4.09,0,0,1
700,3k,broad,3,10.5,3.63,4,11,24
559,lcnl,botch,,10.53,3.39,,,
229,lcnl,bawl,,10.62,3.63,,,
636,lcnl,braze,,10.623058,2.55,,,
687,3k,brim,,10.68,3.02,0,0,1
90,lcnl,asp,,10.69,3.16,,,
712,3k,brooch,,10.71,2.73,,,
698,3k,broach,,10.72,2.95,,,
106,lcnl,awl,1,10.75,4.16,,,
349,3k,birch,,10.836198,4.29,0,2,5
744,3k,brute,,10.85,3.27,1,4,3
108,3k,awn,,10.86,4.18,,,
495,lcnl,bode,,10.93,3.56,,,
400,3k,bleak,1,10.94,3.33,0,0,1
207,lcnl,bask,1,10.95,2.41,,,
215,lcnl,baste,,11,3.67,,,
468,3k,blunt,,11.05,2.7,0,0,0
308,3k,berth,,11.2,3.47,,,
327,lcnl,bier,,11.22,4.38,,,
425,lcnl,blip,,11.31,4.63,,,
641,3k,breadth,,11.38,4.69,0,0,0
620,3k,brash,,11.47,2.99,,,
431,3k,bloat,,11.56,4.49,,,
471,lcnl,blurb,,11.56,3.65,,,
335,3k,bile,,11.67,2.93,0,0,0
268,3k,beech,1,11.69,3.14,0,0,1
637,3k,breach,,11.72,2.89,0,0,0
416,3k,blight,,11.73,2.89,0,0,0
328,lcnl,biff,,11.7357,5.78,,,
175,unl,bap,,11.75,3.39,,,
262,3k,beck,,11.7527,3.72,,,
47,lcnl,alp,,11.77,3.83,,,
562,3k,bough,3,11.79,4.73,0,1,2
655,lcnl,breech,,11.79,3.39,0,0,0
571,3k,bout,6,11.83,2.83,1,2,1
141,unl,bairn,,12,2,,,
51,lcnl,amp,,12.11,2.42,,,
628,unl,braw,,12.12,4.29,,,
538,unl,boor,,12.14,3.92,,,
172,unl,banns,,12.15,3.21,,,
260,3k,beau,,12.232265,3.32,,,
65,3k,apt,1,12.5,4.18,0,0,1
740,3k,brunt,,12.52,3.17,,,
336,3k,bilge,,12.53,4,,,
678,unl,brie,,12.69,4.24,,,
64,unl,apse,,12.743801,3.71,,,
682,3k,brig,,12.82,3.84,,,
180,3k,bard,,12.86,3.03,0,0,2
401,3k,bleat,,12.92,5.14,,,
153,lcnl,balk,,12.93,4.5,,,
535,3k,boon,1,12.94,4.12,,,
56,3k,angst,,13.12,2.92,,,
382,3k,blanch,,13.12,3.24,,,
324,3k,bide,,13.56,3.29,,,
605,lcnl,braise,,13.607018,4.77,,,
228,unl,baud,,13.78,3.93,,,
606,unl,braised,,13.83,4.42,,,
337,lcnl,bilk,,13.88,2.36,,,
441,3k,bloke,,13.88,4.69,,,
18,3k,aft,,13.8841,3.72,0,0,0
355,lcnl,bisque,,14,3.85,,,
522,3k,bong,,14.16,5.07,,,
690,lcnl,brine,,14.25,4.74,0,0,1
408,unl,blench,,14.5,0.71,,,
743,unl,brusque,,14.77,2.8,,,
347,3k,binge,,15.22,4.05,,,
428,3k,blithe,1,16.13,3.87,,,
