,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
97,8263,3k,where,309.0,5.733341277,3.744899445,4.090317,2.06,1.6361268,1477.0,1177.0,1308.0,True,True,True,3.5085765225000003
78,8171,lcnl,we,610.0,6.4134589570000005,3.0028880630000003,5.0387900000000005,1.66,2.015516,4846.0,3286.0,3235.0,True,True,True,3.5169600315
114,7780,3k,tree,206.0,5.327876169,4.187263661,3.57,1.61,1.4280000000000002,807.0,501.0,358.0,True,True,True,3.5216318305000005
98,4745,lcnl,or,311.0,5.739792912,3.737860682,4.143602,1.25,1.6574408,931.0,1553.0,2536.0,True,True,True,3.5263711410000003
73,7496,3k,there,693.0,6.541029999,2.863707495,5.251930000000001,2.05,2.100772,3255.0,3310.0,3699.0,True,True,True,3.5326257475
153,6409,3k,sleep,113.0,4.727387819,4.842399093,2.79,1.03,1.1159999999999999,477.0,288.0,213.0,True,True,True,3.5371995465
80,7523,3k,this,538.0,6.28785856,3.1399186489999997,4.93222,2.09,1.9728880000000002,3899.0,2990.0,3591.0,True,True,True,3.5428473245000003
120,252,3k,bear,197.0,5.283203728999999,4.23600149,3.58,1.68,1.432,902.0,320.0,165.0,True,True,True,3.5500007449999997
94,2545,3k,from,370.0,5.913503006,3.548342206,4.441998,2.24,1.7767992,2044.0,2639.0,3623.0,True,True,True,3.5509703029999997
82,1844,3k,down,522.0,6.2576675879999994,3.172857133,4.93222,1.96,1.9728880000000002,2635.0,2173.0,1958.0,True,True,True,3.5593165665
157,7079,3k,stop,114.0,4.736198448000001,4.832786657,2.89,1.6,1.156,800.0,408.0,348.0,True,True,True,3.5723933284999996
115,4720,3k,off,225.0,5.4161004020000005,4.091010634,3.834549,2.09,1.5338196000000002,862.0,1001.0,1023.0,True,True,True,3.579324917
122,5345,3k,put,206.0,5.327876169,4.187263661,3.72,2.3,1.4880000000000002,1936.0,1267.0,973.0,True,True,True,3.5816318305
203,4420,3k,mom,67.0,4.204692618999999,5.412661855,2.22,1.22,0.888,725.0,375.0,184.0,True,True,True,3.5943309274999997
89,7491,3k,them,458.0,6.126869183999999,3.3155587669999997,4.900249,2.16,1.9600996,1948.0,2256.0,2666.0,True,True,True,3.6178789835
140,5518,3k,red,181.0,5.1984970310000005,4.328416869,3.68,1.63,1.472,892.0,372.0,316.0,True,True,True,3.6362084345
160,6502,3k,small,126.0,4.836281907,4.723595164,3.22,1.52,1.288,452.0,546.0,623.0,True,True,True,3.6497975819999997
149,3168,3k,head,145.0,4.9767337419999995,4.570361593,3.42,1.02,1.368,643.0,698.0,703.0,True,True,True,3.6531807965
125,4077,3k,look,223.0,5.407171771000001,4.10075181,4.05,1.68,1.62,2541.0,1488.0,1416.0,True,True,True,3.670375905
106,4722,unl,oh,351.0,5.860786223,3.605856447,4.71908,1.85,1.887632,867.0,597.0,477.0,True,True,True,3.6905602235
158,463,3k,blue,144.0,4.9698133,4.577911827,3.53,1.68,1.412,369.0,202.0,216.0,True,True,True,3.7009559135
123,5598,3k,right,257.0,5.549076085,3.94593358,4.3460849999999995,1.59,1.738434,1499.0,1410.0,1229.0,True,True,True,3.71140079
129,7936,3k,two,236.0,5.463831805,4.038935464,4.239515,2.06,1.6958060000000001,1053.0,1180.0,1369.0,True,True,True,3.715273732
156,3215,3k,help,153.0,5.030437921,4.511770098,3.65,1.79,1.46,1631.0,917.0,754.0,True,True,True,3.715885049
165,5056,3k,please,135.0,4.905274778,4.648323637,3.482868,1.22,1.3931472,286.0,207.0,159.0,True,True,True,3.7173090185
176,3138,3k,hat,120.0,4.787491743,4.776825447,3.33,1.14,1.3319999999999999,369.0,140.0,97.0,True,True,True,3.7204127235
155,7545,3k,three,155.0,5.043425117,4.49760101,3.6853510000000003,1.5,1.4741403999999998,578.0,532.0,576.0,True,True,True,3.7229409049999997
172,885,3k,car,122.0,4.804021045,4.758791906,3.37,1.95,1.348,741.0,492.0,370.0,True,True,True,3.7273959530000003
134,4072,3k,long,229.0,5.433722004,4.07178539,4.239515,1.83,1.6958060000000001,966.0,1098.0,1146.0,True,True,True,3.731698695
218,128,3k,bad,78.0,4.356708827,5.246811504,2.79,1.27,1.1159999999999999,421.0,301.0,236.0,True,True,True,3.7394057519999997
212,4663,3k,nose,84.0,4.430816799,5.16595938,2.95,1.15,1.18,181.0,123.0,123.0,True,True,True,3.76297969
79,84,lcnl,as,844.0,6.738152495,2.648645986,6.10449,2.3,2.441796,2243.0,3346.0,4616.0,True,True,True,3.766118993
103,7633,3k,time,417.0,6.0330862220000006,3.417876391,5.16,1.86,2.064,1847.0,1882.0,2005.0,True,True,True,3.7729381955
130,3773,3k,know,257.0,5.549076085,3.94593358,4.5,2.12,1.8,2010.0,1924.0,1730.0,True,True,True,3.77296679
99,3457,lcnl,if,468.0,6.148468296,3.291994041,5.3585,2.34,2.1434,1827.0,2192.0,2595.0,True,True,True,3.7893970205
221,2413,3k,fly,85.0,4.442651256,5.153047935,3.05,1.18,1.22,396.0,182.0,110.0,True,True,True,3.7965239674999998
119,6649,3k,some,316.0,5.755742214,3.7204599239999996,4.846964,2.44,1.9387855999999999,2171.0,1973.0,2260.0,True,True,True,3.7990155619999997
196,2084,lcnl,eyes,111.0,4.709530201000001,4.861881832,3.443482,1.36,1.3773928,487.0,652.0,712.0,True,True,True,3.808333716
180,2919,3k,green,141.0,4.94875989,4.600881189,3.79,1.32,1.516,523.0,276.0,236.0,True,True,True,3.8164405945
185,582,3k,boy,129.0,4.8598124039999995,4.697923287,3.67,1.88,1.4680000000000002,952.0,675.0,614.0,True,True,True,3.8169616435
243,3107,3k,hand,65.0,4.17438727,5.445725124,2.74,1.24,1.0959999999999999,434.0,501.0,519.0,True,True,True,3.8188625619999996
147,4755,3k,our,209.0,5.342334252,4.1714898289999995,4.3460849999999995,1.53,1.738434,621.0,709.0,909.0,True,True,True,3.8241789145
109,4677,3k,now,405.0,6.003887067000001,3.449732797,5.251930000000001,1.77,2.100772,2249.0,1833.0,1836.0,True,True,True,3.8256383984999998
169,8325,3k,why,157.0,5.056245805,4.483613583,3.97309,2.11,1.589236,1218.0,1084.0,927.0,True,True,True,3.8310427915000003
198,350,3k,bird,112.0,4.718498871,4.852096974,3.52,1.66,1.4080000000000001,540.0,167.0,118.0,True,True,True,3.8340484870000004
238,156,3k,ball,70.0,4.248495242,5.364873001,2.9,1.22,1.16,587.0,304.0,248.0,True,True,True,3.8424365005
110,125,3k,back,406.0,6.00635316,3.4470422789999997,5.3052150000000005,2.35,2.122086,2096.0,1959.0,1784.0,True,True,True,3.8456071394999998
171,7754,3k,train,155.0,5.043425117,4.49760101,4.0,1.71,1.6,222.0,127.0,95.0,True,True,True,3.8488005050000003
112,8430,3k,would,396.0,5.981414211000001,3.474250782,5.28,1.56,2.112,1957.0,2329.0,2710.0,True,True,True,3.8491253910000003
164,7962,lcnl,us,177.0,5.176149733,4.352797871,4.18623,2.07,1.6744919999999999,997.0,883.0,909.0,True,True,True,3.8508909355
142,7515,3k,think,265.0,5.579729826,3.9124902130000003,4.75,1.55,1.9,1417.0,1313.0,1353.0,True,True,True,3.8562451065000003
168,8128,3k,want,169.0,5.129898715,4.403257934,4.16,2.32,1.6640000000000001,2034.0,1248.0,985.0,True,True,True,3.865628967
226,7229,3k,sun,95.0,4.553876892,5.031700278,3.4,1.64,1.36,573.0,430.0,418.0,True,True,True,3.8758501389999997
259,87,3k,ask,65.0,4.17438727,5.445725124,2.89,1.37,1.156,339.0,309.0,266.0,True,True,True,3.878862562
213,2524,3k,friend,105.0,4.65396035,4.922508784,3.57,1.43,1.4280000000000002,427.0,343.0,276.0,True,True,True,3.889254392
209,4549,3k,name,112.0,4.718498871,4.852096974,3.68,1.53,1.472,635.0,533.0,469.0,True,True,True,3.898048487
148,4213,3k,make,233.0,5.451038454,4.052893067,4.68,1.77,1.8719999999999999,1380.0,1258.0,1453.0,True,True,True,3.8984465335
233,2177,3k,fell,83.0,4.418840608,5.179025457,3.280385,1.2,1.312154,294.0,238.0,186.0,True,True,True,3.9016667285
135,7695,3k,too,313.0,5.746203191,3.73086704,5.102732,2.0,2.0410928,2069.0,1669.0,1456.0,True,True,True,3.90652632
205,7841,3k,truck,119.0,4.779123493,4.785955244,3.79,1.47,1.516,308.0,158.0,85.0,True,True,True,3.908977622
312,1593,3k,dad,49.0,3.8918202980000003,5.7540069339999995,2.58,1.17,1.032,731.0,292.0,173.0,True,True,True,3.909003467
201,5881,3k,school,127.0,4.844187086,4.714970578,3.89,1.37,1.556,1065.0,866.0,777.0,True,True,True,3.913485289
228,368,3k,black,98.0,4.5849674789999995,4.99778031,3.56,1.92,1.4240000000000002,261.0,293.0,309.0,True,True,True,3.922890155
217,2135,3k,fast,111.0,4.709530201000001,4.861881832,3.738636,1.33,1.4954544,610.0,347.0,221.0,True,True,True,3.926395316
211,3178,3k,hear,115.0,4.744932128,4.823258173999999,3.8,1.64,1.52,482.0,457.0,373.0,True,True,True,3.9316290869999997
187,7440,3k,tell,156.0,5.049856007,4.490584881,4.26,2.05,1.704,1243.0,1107.0,962.0,True,True,True,3.9492924405
139,7489,3k,their,324.0,5.780743516,3.693183393,5.262587,2.02,2.1050348,660.0,1336.0,2034.0,True,True,True,3.9516264965
261,2249,3k,fire,74.0,4.304065093,5.304246049,3.25,1.16,1.3,290.0,394.0,318.0,True,True,True,3.9521230244999996
329,3396,3k,hug,45.0,3.80666249,5.846914477,2.58,0.96,1.032,48.0,23.0,9.0,True,True,True,3.9554572385
186,7359,3k,take,164.0,5.099866428,4.436023292,4.37,1.89,1.7480000000000002,1347.0,1036.0,1013.0,True,True,True,3.966011646
272,3090,3k,hair,68.0,4.219507705,5.396498531000001,3.17,1.76,1.268,214.0,246.0,228.0,True,True,True,3.9662492655
277,2441,3k,food,69.0,4.234106505,5.380571177,3.25,1.21,1.3,454.0,529.0,663.0,True,True,True,3.9902855885
268,3368,3k,hot,75.0,4.317488114,5.2896014739999995,3.37,1.77,1.348,449.0,281.0,252.0,True,True,True,3.9928007369999996
262,8110,3k,walk,79.0,4.3694478519999995,5.232913171,3.45,2.04,1.38,485.0,351.0,281.0,True,True,True,3.9964565855
266,7858,3k,try,78.0,4.356708827,5.246811504,3.44,2.15,1.376,370.0,362.0,347.0,True,True,True,3.999405752
220,5049,3k,play,126.0,4.836281907,4.723595164,4.1,2.59,1.64,1169.0,470.0,322.0,True,True,True,4.001797582
224,6607,3k,snow,124.0,4.820281566,4.741051606,4.11,2.31,1.6440000000000001,236.0,211.0,229.0,True,True,True,4.014525803
376,8234,3k,wet,37.0,3.610917913,6.060472672,2.47,1.35,0.988,218.0,127.0,106.0,True,True,True,4.018236336
232,7703,3k,top,104.0,4.644390898999999,4.932949097,3.89,1.53,1.556,394.0,368.0,326.0,True,True,True,4.0224745485
207,4605,3k,next,144.0,4.9698133,4.577911827,4.3460849999999995,1.86,1.738434,972.0,841.0,688.0,True,True,True,4.0273899135
265,5445,3k,rain,83.0,4.418840608,5.179025457,3.6,1.27,1.44,361.0,227.0,185.0,True,True,True,4.0295127285
229,2259,3k,fish,115.0,4.744932128,4.823258173999999,4.05,1.61,1.62,908.0,366.0,237.0,True,True,True,4.031629087
146,827,3k,by,312.0,5.743003187999999,3.734358257,5.411785,1.5,2.164714,1189.0,1462.0,2074.0,True,True,True,4.0318931285
150,3378,3k,how,292.0,5.676753802,3.806636628,5.3585,1.92,2.1434,2048.0,2049.0,2147.0,True,True,True,4.0467183140000005
295,6315,3k,sit,73.0,4.290459441,5.319089875,3.47,2.25,1.3880000000000001,376.0,230.0,166.0,True,True,True,4.0475449375000006
350,1530,3k,cry,44.0,3.7841896339999996,5.8714324620000005,2.78,1.66,1.112,187.0,147.0,89.0,True,True,True,4.047716231000001
246,809,3k,bus,96.0,4.5643481910000006,5.020276043,3.85,1.57,1.54,349.0,228.0,132.0,True,True,True,4.0501380215000005
202,7513,3k,thing,162.0,5.087596335,4.449410017,4.58,1.61,1.8319999999999999,640.0,585.0,607.0,True,True,True,4.0567050085
324,5774,3k,sad,60.0,4.094344562,5.533052071,3.24,2.21,1.296,274.0,147.0,84.0,True,True,True,4.0625260355
304,1952,3k,duck,72.0,4.276666119,5.33413845,3.5,1.64,1.4,390.0,50.0,20.0,True,True,True,4.067069225
222,2255,3k,first,138.0,4.927253685,4.624344553,4.388713,1.31,1.7554851999999999,745.0,994.0,1181.0,True,True,True,4.0676574765
270,529,3k,book,82.0,4.406719247,5.192249915,3.68,1.8,1.472,641.0,317.0,309.0,True,True,True,4.0681249575
379,6189,3k,shoe,37.0,3.610917913,6.060472672,2.6,1.19,1.04,45.0,34.0,27.0,True,True,True,4.070236336000001
197,4601,3k,new,174.0,5.159055298999999,4.371447973,4.72,2.14,1.8880000000000001,879.0,794.0,945.0,True,True,True,4.0737239865
290,2580,3k,fun,79.0,4.3694478519999995,5.232913171,3.67,0.97,1.4680000000000002,629.0,241.0,159.0,True,True,True,4.0844565855
274,1626,3k,dark,83.0,4.418840608,5.179025457,3.74,1.37,1.496,324.0,340.0,310.0,True,True,True,4.0855127284999995
330,828,3k,bye,58.0,4.060443011,5.570038812999999,3.280385,2.16,1.312154,#N/A,#N/A,#N/A,True,True,True,4.0971734065
245,312,3k,best,105.0,4.65396035,4.922508784,4.090317,1.66,1.6361268,395.0,372.0,339.0,True,True,True,4.097381192
281,8376,3k,wish,84.0,4.430816799,5.16595938,3.79,0.92,1.516,366.0,200.0,145.0,True,True,True,4.09897969
321,3259,3k,hill,66.0,4.189654742,5.429068245,3.47,1.47,1.3880000000000001,252.0,182.0,134.0,True,True,True,4.1025341225
223,4528,3k,must,148.0,4.997212274,4.548019425,4.58,2.36,1.8319999999999999,818.0,792.0,834.0,True,True,True,4.1060097125
347,1228,lcnl,clothes,50.0,3.912023005,5.731965691,3.11,1.41,1.244,155.0,192.0,179.0,True,True,True,4.1099828455
372,7739,3k,toy,45.0,3.80666249,5.846914477,3.0,1.15,1.2,105.0,48.0,27.0,True,True,True,4.1234572385
240,2543,3k,frog,117.0,4.762173935,4.8044472869999995,4.32,1.45,1.7280000000000002,876.0,101.0,28.0,True,True,True,4.1302236435
234,3858,3k,last,119.0,4.779123493,4.785955244,4.3460849999999995,1.83,1.738434,632.0,675.0,653.0,True,True,True,4.131411622
258,6369,3k,sky,104.0,4.644390898999999,4.932949097,4.17,1.89,1.6680000000000001,404.0,254.0,205.0,True,True,True,4.1344745485
195,4121,3k,love,215.0,5.370638027999999,4.140610285,5.17,3.54,2.068,111.0,164.0,135.0,True,True,True,4.1383051425
340,4352,3k,milk,57.0,4.043051268,5.58901328,3.37,1.42,1.348,162.0,153.0,127.0,True,True,True,4.14250664
230,4494,3k,much,138.0,4.927253685,4.624344553,4.580539,1.24,1.8322156000000003,698.0,820.0,975.0,True,True,True,4.144387876500001
113,7494,3k,then,673.0,6.51174533,2.895657199,6.7439100000000005,3.51,2.697564,4009.0,3107.0,2849.0,True,True,True,4.1453925995
297,1298,3k,cold,86.0,4.454347296,5.140287504,3.95,1.79,1.58,394.0,322.0,365.0,True,True,True,4.150143752
184,8168,3k,way,247.0,5.509388337000001,3.989233088,5.39,1.74,2.156,1288.0,1322.0,1517.0,True,True,True,4.150616544
313,7476,3k,thank,76.0,4.33073334,5.2751508739999995,3.79,1.72,1.516,248.0,115.0,73.0,True,True,True,4.153575437
327,4483,3k,mouth,65.0,4.17438727,5.445725124,3.58,1.43,1.432,127.0,178.0,195.0,True,True,True,4.154862562
331,4583,3k,need,64.0,4.158883083,5.46264026,3.56,1.34,1.4240000000000002,733.0,546.0,562.0,True,True,True,4.15532013
302,4608,3k,nice,85.0,4.442651256,5.153047935,3.95,1.51,1.58,333.0,232.0,170.0,True,True,True,4.1565239675
367,5654,3k,rock,49.0,3.8918202980000003,5.7540069339999995,3.22,1.17,1.288,287.0,163.0,140.0,True,True,True,4.165003467
365,850,3k,cake,50.0,3.912023005,5.731965691,3.26,2.28,1.304,259.0,68.0,40.0,True,True,True,4.1699828455
301,8300,3k,white,89.0,4.48863637,5.102877974,4.06,1.66,1.624,360.0,377.0,403.0,True,True,True,4.175438987
269,2733,3k,give,103.0,4.634728988,4.943490285,4.28,1.93,1.712,570.0,523.0,477.0,True,True,True,4.1837451425
289,5683,3k,room,97.0,4.574710979,5.008970197,4.22,1.44,1.6880000000000002,849.0,710.0,718.0,True,True,True,4.192485098500001
360,6296,3k,sing,55.0,4.007333185,5.627981866,3.47,1.31,1.3880000000000001,126.0,71.0,58.0,True,True,True,4.201990933
256,3953,3k,let,119.0,4.779123493,4.785955244,4.53,2.09,1.8119999999999998,919.0,662.0,613.0,True,True,True,4.2049776219999995
323,2725,3k,girl,80.0,4.382026635,5.219189664,4.0,1.89,1.6,643.0,401.0,356.0,True,True,True,4.2095948320000005
311,5502,3k,read,86.0,4.454347296,5.140287504,4.11,1.68,1.6440000000000001,529.0,494.0,520.0,True,True,True,4.214143752
351,639,3k,bread,58.0,4.060443011,5.570038812999999,3.58,1.61,1.432,142.0,102.0,83.0,True,True,True,4.2170194064999995
310,2065,3k,end,93.0,4.532599493,5.054914013,4.28,2.61,1.712,296.0,327.0,384.0,True,True,True,4.2394570065
335,34,3k,air,71.0,4.262679877,5.3493975019999995,3.94,1.55,1.5759999999999998,314.0,415.0,516.0,True,True,True,4.250698751
343,8357,3k,wind,68.0,4.219507705,5.396498531000001,3.89,1.37,1.556,317.0,238.0,246.0,True,True,True,4.2542492655
356,2089,3k,face,61.0,4.110873863999999,5.515018529,3.75,2.2,1.5,376.0,435.0,483.0,True,True,True,4.2575092644999994
436,3627,3k,jump,31.0,3.4339872039999997,6.253504853,2.84,1.3,1.136,406.0,110.0,71.0,True,True,True,4.2627524265
366,6676,3k,sound,59.0,4.077537444,5.551388711,3.72,1.53,1.4880000000000002,208.0,338.0,343.0,True,True,True,4.2636943555
309,5745,3k,run,100.0,4.6051701860000005,4.975739068,4.47,1.9,1.788,734.0,399.0,322.0,True,True,True,4.275869534
326,580,3k,box,86.0,4.454347296,5.140287504,4.3,1.66,1.72,653.0,267.0,174.0,True,True,True,4.290143752
353,2896,3k,grass,66.0,4.189654742,5.429068245,3.94,1.55,1.5759999999999998,232.0,186.0,175.0,True,True,True,4.2905341224999995
396,7446,3k,ten,50.0,3.912023005,5.731965691,3.5787809999999998,1.49,1.4315124,200.0,184.0,168.0,True,True,True,4.2974952455
481,4553,3k,nap,23.0,3.135494216,6.579162017000001,2.53,0.77,1.012,54.0,22.0,8.0,True,True,True,4.3015810085
420,4625,3k,nine,38.0,3.63758616,6.031377497,3.2271,1.3,1.29084,53.0,60.0,57.0,True,True,True,4.3065287485
341,728,3k,brown,77.0,4.343805422,5.260889175,4.196887,1.31,1.6787547999999999,264.0,162.0,151.0,True,True,True,4.3091993875
398,4147,3k,lunch,50.0,3.912023005,5.731965691,3.61,1.69,1.444,407.0,167.0,91.0,True,True,True,4.3099828455
