,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
93,lcnl,at,799.0,4.037032,1.37,5635.0,5090.0,5491.0
94,3k,ate,103.0,,,207.0,168.0,139.0
95,unl,au,,,,,,
96,lcnl,aught,2.0,,,,,
97,unl,auk,,,,,,
98,unl,auks,,,,,,
99,unl,auld,,,,,,
100,3k,aunt,11.0,3.8,1.61,147.0,179.0,144.0
101,lcnl,aunts,3.0,,,1.0,3.0,8.0
102,lcnl,awe,,9.06,3.87,0.0,2.0,3.0
103,unl,awed,1.0,10.41,3.14,0.0,0.0,0.0
104,unl,awes,,,,,,
105,unl,awk,,,,,,
106,lcnl,awl,1.0,10.75,4.16,,,
107,lcnl,awls,,,,,,
108,3k,awn,,10.86,4.18,,,
109,lcnl,ax,1.0,6.317630000000001,1.73,11.0,11.0,14.0
110,3k,axe,6.0,6.11,1.49,0.0,3.0,8.0
111,unl,axed,,,,,,
112,lcnl,axes,2.0,,,0.0,0.0,0.0
113,unl,ay,1.0,,,1.0,1.0,2.0
114,lcnl,aye,3.0,9.685242,3.78,2.0,7.0,8.0
115,unl,ayes,,,,,,
116,unl,ayres,,,,,,
117,unl,b,22.0,,,30.0,16.0,15.0
118,unl,ba,6.0,,,,,
119,unl,bab,,,,,,
120,3k,babe,1.0,6.61,3.11,6.0,16.0,11.0
121,lcnl,babes,,,,,,
122,unl,babs,2.0,,,,,
123,unl,bach,,,,,,
124,unl,bachs,,,,,,
125,3k,back,406.0,5.3052150000000005,2.35,2096.0,1959.0,1784.0
126,unl,backed,4.0,,,21.0,19.0,12.0
127,unl,backs,2.0,,,3.0,8.0,16.0
128,3k,bad,78.0,2.79,1.27,421.0,301.0,236.0
129,3k,bade,4.0,,,1.0,1.0,0.0
130,3k,badge,,6.11,1.81,0.0,1.0,1.0
131,3k,bag,38.0,4.28,1.56,252.0,170.0,124.0
132,unl,bagged,,,,,,
133,lcnl,bags,4.0,,,49.0,52.0,41.0
134,unl,bah,1.0,,,,,
135,3k,bail,,10.16,5.04,0.0,0.0,1.0
136,unl,bailed,,,,,,
137,lcnl,bails,,,,,,
138,unl,bain,,,,,,
139,unl,baines,,,,,,
140,unl,baird,,,,,,
141,unl,bairn,,12.0,2.0,,,
142,unl,bairns,,,,,,
143,3k,bait,1.0,7.11,2.08,8.0,6.0,7.0
144,lcnl,baits,,7.78,2.41,,,
145,unl,baize,,,,,,
146,lcnl,bake,13.0,5.5,2.53,52.0,12.0,7.0
147,lcnl,baked,10.0,,,14.0,12.0,12.0
148,3k,bakes,,,,,,
149,unl,bal,,,,,,
150,3k,bald,1.0,7.26,3.35,18.0,5.0,6.0
151,3k,bale,,8.2,2.5,0.0,0.0,1.0
152,lcnl,bales,,,,0.0,0.0,2.0
153,lcnl,balk,,12.93,4.5,,,
154,lcnl,balked,,,,,,
155,lcnl,balks,,,,,,
156,3k,ball,70.0,2.9,1.22,587.0,304.0,248.0
157,lcnl,balls,7.0,,,23.0,21.0,22.0
158,lcnl,balm,,10.28,5.27,,,
159,lcnl,balms,,,,,,
160,unl,bam,,5.5,2.85,,,
161,3k,ban,,10.11,3.56,0.0,0.0,0.0
162,3k,band,23.0,6.16,2.54,61.0,47.0,39.0
163,lcnl,bands,5.0,,,6.0,8.0,11.0
164,lcnl,bane,,9.6,2.92,,,
165,3k,bang,17.0,5.74,2.88,64.0,22.0,16.0
166,lcnl,banged,6.0,,,13.0,13.0,8.0
167,lcnl,bangs,2.0,,,0.0,5.0,5.0
168,3k,bank,8.0,6.44,2.41,55.0,87.0,66.0
169,unl,banked,,,,0.0,0.0,1.0
170,lcnl,banks,1.0,,,4.0,15.0,22.0
171,unl,banned,,,,0.0,0.0,0.0
172,unl,banns,,12.15,3.21,,,
173,unl,bans,,,,,,
174,unl,bant,,,,,,
175,unl,bap,,11.75,3.39,,,
176,3k,bar,7.0,6.9,2.62,39.0,28.0,34.0
177,lcnl,barb,,9.877068000000001,3.62,,,
178,unl,barbed,1.0,10.0,3.5,0.0,0.0,0.0
179,lcnl,barbs,,,,,,
180,3k,bard,,12.86,3.03,0.0,0.0,2.0
181,lcnl,bards,,,,,,
182,3k,bare,4.0,5.78,2.86,13.0,26.0,37.0
183,unl,bared,,,,0.0,0.0,2.0
184,unl,bares,,,,,,
185,3k,barge,1.0,9.28,3.37,5.0,6.0,2.0
186,unl,barged,,,,,,
187,3k,bark,17.0,5.17,1.76,58.0,47.0,45.0
188,lcnl,barked,4.0,,,16.0,23.0,15.0
189,lcnl,barks,2.0,,,2.0,1.0,2.0
190,3k,barn,20.0,4.5,1.62,50.0,81.0,79.0
191,unl,barnes,1.0,,,0.0,2.0,1.0
192,lcnl,barns,1.0,,,0.0,2.0,5.0
193,unl,barque,,,,,,
194,unl,barques,,,,,,
195,unl,barr,,,,,,
196,3k,barre,,,,,,
197,unl,barred,,,,0.0,0.0,1.0
198,lcnl,bars,6.0,,,13.0,15.0,19.0
199,unl,bart,,,,,,
200,unl,barth,,,,,,
201,3k,bas,,9.0,1.41,,,
202,3k,base,4.0,6.42,2.57,20.0,26.0,31.0
203,lcnl,based,,,,1.0,0.0,3.0
204,lcnl,bases,,,,0.0,0.0,2.0
205,3k,bash,4.0,8.84,2.69,,,
206,lcnl,bashed,1.0,,,,,
207,lcnl,bask,1.0,10.95,2.41,,,
208,lcnl,basked,,,,,,
209,lcnl,basks,,,,,,
210,unl,basle,,,,,,
211,unl,basque,,,,,,
212,unl,basques,,,,,,
213,3k,bass,,8.63,3.02,1.0,0.0,3.0
214,unl,bast,,,,,,
215,lcnl,baste,,11.0,3.67,,,
216,lcnl,bastes,,,,,,
217,3k,bat,26.0,4.85,1.73,51.0,32.0,22.0
218,3k,batch,,6.74,1.85,0.0,0.0,1.0
219,unl,batched,,,,,,
220,lcnl,bate,,,,,,
221,unl,bates,1.0,,,0.0,2.0,3.0
222,3k,bath,32.0,3.23,1.56,26.0,31.0,24.0
223,3k,bathe,2.0,5.0,2.11,0.0,2.0,3.0
224,lcnl,bathed,,,,0.0,0.0,3.0
225,lcnl,bathes,,,,,,
226,lcnl,baths,,,,5.0,5.0,4.0
227,lcnl,bats,21.0,,,20.0,7.0,7.0
228,unl,baud,,13.78,3.93,,,
229,lcnl,bawl,,10.62,3.63,,,
230,lcnl,bawled,1.0,,,3.0,2.0,1.0
231,unl,bawls,,,,,,
232,3k,bay,3.0,8.67,2.52,5.0,26.0,30.0
233,unl,bayed,,,,,,
234,unl,bayes,,,,,,
235,unl,baynes,,,,,,
236,lcnl,bays,1.0,,,0.0,0.0,0.0
237,lcnl,be,674.0,5.11,3.23,3366.0,3618.0,4161.0
238,unl,bea,,,,,,
239,3k,beach,27.0,4.8,1.54,82.0,81.0,83.0
240,unl,beached,,,,,,
241,3k,bead,,5.63,1.64,0.0,0.0,0.0
242,lcnl,beads,1.0,,,1.0,7.0,11.0
243,3k,beak,2.0,5.42,2.73,6.0,7.0,9.0
244,unl,beaked,,,,,,
245,lcnl,beaks,1.0,,,0.0,1.0,2.0
246,unl,beale,,,,,,
247,3k,beam,3.0,8.78,2.9,8.0,8.0,11.0
248,unl,beamed,1.0,,,1.0,4.0,3.0
249,lcnl,beams,1.0,,,3.0,6.0,8.0
250,3k,bean,6.0,3.42,1.12,21.0,24.0,17.0
251,lcnl,beans,28.0,,,44.0,57.0,46.0
252,3k,bear,197.0,3.58,1.68,902.0,320.0,165.0
253,3k,beard,5.0,4.84,1.8,4.0,13.0,17.0
254,lcnl,beards,,,,0.0,0.0,0.0
255,lcnl,bears,17.0,,,93.0,52.0,37.0
256,3k,beast,3.0,5.74,2.79,26.0,13.0,12.0
257,lcnl,beasts,,,,3.0,3.0,10.0
258,3k,beat,15.0,6.15,1.66,65.0,85.0,84.0
259,lcnl,beats,1.0,,,0.0,5.0,7.0
260,3k,beau,,12.232265,3.32,,,
261,unl,beaux,,,,,,
262,3k,beck,,11.7527,3.72,,,
263,lcnl,becks,,,,,,
264,3k,bed,165.0,2.89,1.41,675.0,405.0,316.0
265,unl,bede,,,,,,
266,lcnl,beds,6.0,,,24.0,15.0,16.0
267,3k,bee,44.0,5.0,1.97,55.0,54.0,30.0
268,3k,beech,1.0,11.69,3.14,0.0,0.0,1.0
269,3k,beef,8.0,6.58,2.43,0.0,6.0,8.0
270,lcnl,beefs,,,,,,
271,3k,beek,,,,,,
272,3k,been,127.0,,,592.0,1065.0,1471.0
273,3k,beep,33.0,5.32,2.38,,,
274,unl,beeped,,,,,,
275,lcnl,beeps,1.0,,,,,
276,3k,beer,2.0,6.11,2.68,0.0,10.0,10.0
277,lcnl,beers,1.0,,,,,
278,lcnl,bees,25.0,,,51.0,54.0,29.0
279,3k,beet,1.0,6.56,2.06,0.0,0.0,1.0
280,lcnl,beets,1.0,,,6.0,3.0,2.0
281,3k,beg,9.0,5.78,2.32,5.0,9.0,15.0
282,lcnl,begged,11.0,,,20.0,29.0,24.0
283,lcnl,begs,,,,,,
284,3k,beige,3.0,7.74,2.28,,,
285,unl,bel,,,,,,
286,3k,belch,1.0,6.22,2.26,,,
287,unl,belched,,,,,,
288,3k,bell,48.0,3.89,1.68,248.0,108.0,80.0
289,3k,belle,,10.367289999999999,3.84,0.0,2.0,1.0
290,lcnl,belles,,,,,,
291,lcnl,bells,21.0,,,8.0,16.0,21.0
292,3k,belt,,4.62,2.09,38.0,33.0,31.0
293,lcnl,belts,2.0,,,7.0,3.0,2.0
294,lcnl,ben,4.0,,,490.0,133.0,76.0
295,3k,bench,1.0,4.21,1.81,55.0,30.0,29.0
296,unl,benched,,,,,,
297,3k,bend,8.0,5.56,1.85,22.0,35.0,29.0
298,lcnl,bends,5.0,,,0.0,5.0,4.0
299,unl,benn,,,,,,
300,3k,bent,12.0,,,51.0,48.0,56.0
301,unl,bents,,,,,,
302,unl,benz,,,,,,
303,lcnl,berg,,,,,,
304,unl,bergs,,,,,,
305,unl,bern,,,,,,
306,unl,berne,,,,,,
307,unl,bert,2.0,,,43.0,22.0,10.0
308,3k,berth,,11.2,3.47,,,
309,unl,berthed,,,,,,
310,lcnl,berths,1.0,,,,,
311,unl,bess,1.0,,,20.0,1.0,5.0
312,3k,best,105.0,4.090317000000001,1.66,395.0,372.0,339.0
313,3k,bet,16.0,7.0,2.43,99.0,75.0,44.0
314,unl,beth,,,,130.0,52.0,30.0
315,lcnl,bets,,,,8.0,2.0,0.0
316,unl,bette,,,,,,
317,unl,bev,,,,,,
318,lcnl,bey,,,,,,
319,3k,bib,1.0,4.53,4.25,,,
320,unl,bibb,,,,,,
321,lcnl,bibs,,,,,,
322,unl,bic,,,,,,
323,3k,bid,3.0,9.84,3.3,0.0,1.0,2.0
324,3k,bide,,13.56,3.29,,,
325,lcnl,bids,1.0,,,,,
326,unl,bien,,,,,,
327,lcnl,bier,,11.22,4.38,,,
328,lcnl,biff,,11.7357,5.78,,,
329,unl,biffed,,,,,,
330,3k,big,383.0,2.89,1.08,2826.0,1342.0,969.0
331,unl,biggs,,,,,,
332,3k,bike,33.0,4.79,1.65,173.0,87.0,59.0
333,unl,biked,,,,,,
334,lcnl,bikes,6.0,,,24.0,19.0,9.0
335,3k,bile,,11.67,2.93,0.0,0.0,0.0
336,3k,bilge,,12.53,4.0,,,
337,lcnl,bilk,,13.88,2.36,,,
338,lcnl,bilked,,,,,,
339,lcnl,bilks,,,,,,
340,3k,bill,4.0,6.424200000000001,2.07,442.0,263.0,117.0
341,unl,billed,,,,,,
342,lcnl,bills,,,,29.0,25.0,13.0
343,3k,bin,3.0,4.68,2.67,1.0,5.0,4.0
344,3k,bind,,10.24,2.95,0.0,0.0,0.0
345,lcnl,binds,,,,0.0,0.0,0.0
346,3k,bing,47.0,,,,,
347,3k,binge,,15.22,4.05,,,
348,lcnl,bins,1.0,,,0.0,2.0,1.0
349,3k,birch,,10.836198000000001,4.29,0.0,2.0,5.0
350,3k,bird,112.0,3.52,1.66,540.0,167.0,118.0
351,lcnl,birds,50.0,,,295.0,183.0,149.0
352,unl,birt,,,,,,
353,3k,birth,1.0,5.21,2.25,0.0,6.0,13.0
354,lcnl,births,,,,0.0,0.0,0.0
355,lcnl,bisque,,14.0,3.85,,,
356,3k,bit,44.0,6.47,2.55,117.0,139.0,143.0
357,3k,bitch,,10.11,2.19,0.0,1.0,1.0
358,lcnl,bitched,,,,,,
359,3k,bite,24.0,3.58,1.3,54.0,46.0,43.0
360,lcnl,bites,3.0,,,15.0,9.0,8.0
361,lcnl,bits,7.0,,,26.0,31.0,33.0
362,unl,bix,,,,,,
363,lcnl,biz,,9.93,3.05,,,
364,unl,bjorn,,,,,,
365,lcnl,blab,1.0,7.95,3.65,,,
366,lcnl,blabbed,,,,,,
367,lcnl,blabs,,,,,,
368,3k,black,98.0,3.56,1.92,261.0,293.0,309.0
369,unl,blacked,,,,,,
370,unl,blacks,,,,0.0,1.0,2.0
371,3k,blade,6.0,6.72,1.99,7.0,6.0,9.0
372,lcnl,blades,2.0,,,0.0,3.0,6.0
373,lcnl,blah,4.0,8.98188,4.65,,,
374,unl,blaine,,,,,,
375,unl,blair,,,,3.0,0.0,5.0
376,unl,blairs,,,,,,
377,unl,blake,,,,1.0,12.0,3.0
378,unl,blakes,,,,,,
379,3k,blame,2.0,6.48,1.89,8.0,16.0,15.0
380,lcnl,blamed,1.0,,,0.0,3.0,3.0
381,lcnl,blames,,,,,,
382,3k,blanch,,13.12,3.24,,,
383,unl,blanche,,,,0.0,0.0,1.0
384,lcnl,blanched,,,,,,
385,3k,bland,,8.35,3.67,0.0,0.0,0.0
386,3k,blank,1.0,6.05,1.79,0.0,7.0,10.0
387,unl,blanked,,,,,,
388,unl,blanks,,,,,,
389,lcnl,blare,,10.22,2.26,,,
390,lcnl,blared,,,,,,
391,lcnl,blares,1.0,,,,,
392,unl,blass,,,,,,
393,3k,blast,2.0,7.06,3.02,2.0,11.0,13.0
394,lcnl,blasts,,,,0.0,0.0,0.0
395,3k,blaze,25.0,7.47,2.37,0.0,1.0,4.0
396,lcnl,blazed,,,,0.0,1.0,3.0
397,lcnl,blazes,,,,,,
398,lcnl,bleach,1.0,8.0,3.25,0.0,1.0,0.0
399,lcnl,bleached,,,,0.0,0.0,2.0
400,3k,bleak,1.0,10.94,3.33,0.0,0.0,1.0
401,3k,bleat,,12.92,5.14,,,
402,lcnl,bleats,,,,,,
403,3k,bled,,,,6.0,1.0,1.0
404,3k,bleed,1.0,4.28,1.56,1.0,1.0,1.0
405,lcnl,bleeds,,,,,,
406,3k,bleep,,9.47,2.27,,,
407,lcnl,bleeps,,,,,,
408,unl,blench,,14.5,0.71,,,
409,unl,blenched,,,,,,
410,3k,blend,,10.17,3.6,0.0,0.0,0.0
411,lcnl,blends,,,,0.0,0.0,0.0
412,3k,bless,7.0,5.33,1.81,1.0,2.0,5.0
413,lcnl,blessed,1.0,6.11,2.69,0.0,2.0,4.0
414,3k,blest,1.0,,,,,
415,3k,blew,32.0,,,149.0,76.0,52.0
416,3k,blight,,11.73,2.89,0.0,0.0,0.0
417,lcnl,blights,,,,,,
418,3k,blimp,,6.63,2.48,,,
419,lcnl,blimps,,,,,,
420,3k,blind,6.0,7.0,2.6,19.0,35.0,36.0
421,unl,blinds,,,,0.0,0.0,1.0
422,3k,blink,15.0,5.63,2.27,3.0,3.0,5.0
423,lcnl,blinked,4.0,,,6.0,12.0,12.0
424,lcnl,blinks,1.0,,,,,
425,lcnl,blip,,11.31,4.63,,,
426,lcnl,blips,,,,,,
427,3k,bliss,1.0,10.16,2.29,,,
428,3k,blithe,1.0,16.13,3.87,,,
429,3k,blitz,,10.4,3.2,0.0,0.0,2.0
430,unl,blitzed,,,,,,
431,3k,bloat,,11.56,4.49,,,
432,lcnl,bloats,,,,,,
433,3k,blob,,6.16,2.29,1.0,0.0,1.0
434,unl,blobbed,,,,,,
435,lcnl,blobs,,,,,,
436,3k,bloc,,,,,,
437,3k,block,16.0,4.79,3.08,87.0,65.0,59.0
438,unl,blocked,2.0,,,2.0,3.0,7.0
439,lcnl,blocks,11.0,,,45.0,36.0,39.0
440,lcnl,blocs,,,,,,
441,3k,bloke,,13.88,4.69,,,
442,lcnl,blokes,,,,,,
443,3k,blond,,6.72,3.3,0.0,7.0,9.0
444,lcnl,blonde,,6.06,1.21,2.0,3.0,2.0
445,unl,blondes,,,,,,
446,unl,blonds,,,,,,
447,3k,blood,4.0,4.89,1.64,34.0,63.0,75.0
448,lcnl,bloods,,,,,,
449,3k,bloom,1.0,6.84,2.09,5.0,4.0,6.0
450,lcnl,bloomed,3.0,,,0.0,0.0,1.0
451,lcnl,blooms,,,,,,
452,3k,blot,,8.38,3.52,0.0,0.0,1.0
453,lcnl,blotch,,9.28,4.13,,,
454,unl,blotched,,,,,,
455,lcnl,blots,,,,,,
456,unl,blount,,,,,,
457,3k,blouse,1.0,6.65,2.58,0.0,3.0,3.0
458,3k,blow,23.0,4.0,1.76,110.0,61.0,49.0
459,unl,blowed,,,,,,
460,3k,blown,3.0,,,1.0,8.0,11.0
461,lcnl,blows,8.0,,,11.0,15.0,16.0
462,unl,blub,7.0,8.08,2.81,,,
463,3k,blue,144.0,3.53,1.68,369.0,202.0,216.0
464,lcnl,blues,,9.81,3.16,1.0,1.0,3.0
465,3k,bluff,,8.82,2.6,0.0,1.0,3.0
466,lcnl,bluffs,,,,0.0,0.0,1.0
467,unl,blum,,,,,,
468,3k,blunt,,11.05,2.7,0.0,0.0,0.0
469,unl,blunts,,,,,,
470,3k,blur,,8.95,3.34,1.0,3.0,3.0
471,lcnl,blurb,,11.56,3.65,,,
472,lcnl,blurred,,,,0.0,2.0,2.0
473,lcnl,blurs,,,,,,
474,lcnl,blurt,,8.76,2.17,,,
475,lcnl,blurts,,,,,,
476,3k,blush,,7.95,1.81,1.0,3.0,2.0
477,lcnl,blushed,3.0,,,3.0,2.0,2.0
478,unl,blyth,,,,,,
479,unl,blythe,,,,,,
480,unl,bo,11.0,,,0.0,3.0,2.0
481,3k,boar,2.0,9.83,3.82,0.0,1.0,3.0
482,3k,board,8.0,6.37,1.8,81.0,80.0,72.0
483,lcnl,boards,1.0,,,26.0,26.0,21.0
484,lcnl,boars,,,,,,
485,3k,boast,2.0,8.22,2.13,0.0,1.0,4.0
486,lcnl,boasts,,,,,,
487,3k,boat,47.0,3.84,1.46,379.0,207.0,132.0
488,lcnl,boats,5.0,,,55.0,57.0,44.0
489,3k,bob,3.0,6.157775000000001,1.97,281.0,91.0,66.0
490,lcnl,bobbed,2.0,,,2.0,2.0,4.0
491,lcnl,bobs,,,,,,
492,lcnl,bock,,,,,,
493,lcnl,bocks,,,,,,
494,lcnl,bod,,,,,,
495,lcnl,bode,,10.93,3.56,,,
496,unl,bodes,,,,,,
497,unl,boer,,,,,,
498,unl,boers,,,,,,
499,3k,bog,1.0,9.37,3.0,5.0,0.0,0.0
500,unl,bogged,,,,,,
501,unl,bogs,,,,0.0,0.0,0.0
502,unl,bohr,,,,,,
503,3k,boil,5.0,6.6,1.79,0.0,4.0,4.0
504,lcnl,boiled,9.0,,,2.0,4.0,6.0
505,lcnl,boils,,,,0.0,0.0,1.0
506,unl,boing,,,,,,
507,unl,bois,,,,,,
508,3k,bold,3.0,9.21,2.68,2.0,5.0,6.0
509,unl,bole,,,,,,
510,unl,boll,,,,,,
511,3k,bolt,,7.28,2.63,3.0,2.0,8.0
512,lcnl,bolts,,,,0.0,1.0,4.0
513,3k,bomb,1.0,8.0,2.49,0.0,1.0,3.0
514,unl,bombed,,,,0.0,0.0,1.0
515,lcnl,bombs,1.0,,,0.0,1.0,1.0
516,unl,bon,3.0,,,,,
517,3k,bond,,10.207435,4.16,1.0,0.0,0.0
518,lcnl,bonds,,,,0.0,0.0,0.0
519,3k,bone,12.0,5.53,1.74,34.0,29.0,48.0
520,unl,boned,,,,,,
521,lcnl,bones,10.0,,,48.0,68.0,92.0
522,3k,bong,,14.16,5.07,,,
523,unl,bongs,,,,,,
524,unl,bonn,,,,,,
525,3k,boo,4.0,3.781264,2.29,15.0,8.0,0.0
526,unl,boob,,8.16,4.51,,,
527,unl,boobs,,,,,,
528,unl,booed,,,,,,
529,3k,book,82.0,3.68,1.8,641.0,317.0,309.0
530,unl,booked,,,,,,
531,lcnl,books,45.0,,,290.0,197.0,177.0
532,3k,boom,22.0,5.56,2.43,8.0,28.0,15.0
533,unl,boomed,1.0,,,0.0,4.0,3.0
534,lcnl,booms,1.0,,,,,
535,3k,boon,1.0,12.94,4.12,,,
536,unl,boone,,,,2.0,3.0,5.0
537,lcnl,boons,,,,,,
538,unl,boor,,12.14,3.92,,,
539,lcnl,boos,,,,,,
540,3k,boost,,7.89,2.87,0.0,0.0,1.0
541,lcnl,boosts,,,,,,
542,3k,boot,,3.89,1.84,6.0,11.0,8.0
543,3k,booth,2.0,7.16,1.61,4.0,12.0,9.0
544,lcnl,booths,,,,0.0,0.0,1.0
545,lcnl,boots,12.0,4.86,2.71,50.0,48.0,43.0
546,3k,booze,,10.42,2.93,,,
547,3k,bop,1.0,6.31,2.77,,,
548,unl,bopped,,,,,,
549,3k,bore,4.0,8.907281,4.64,0.0,2.0,4.0
550,lcnl,bored,6.0,6.25,1.68,6.0,14.0,18.0
551,lcnl,bores,,,,,,
552,unl,borg,,,,,,
553,unl,bork,,,,,,
554,3k,born,22.0,4.68,1.97,30.0,95.0,119.0
555,3k,borne,,,,0.0,0.0,0.0
556,unl,bosch,,,,,,
557,3k,boss,1.0,6.16,2.36,125.0,38.0,23.0
558,unl,bossed,,,,,,
559,lcnl,botch,,10.53,3.39,,,
560,unl,botched,,,,,,
561,3k,both,52.0,4.772365000000001,1.57,213.0,268.0,333.0
562,3k,bough,3.0,11.79,4.73,0.0,1.0,2.0
563,lcnl,boughs,,,,0.0,0.0,1.0
564,3k,bought,13.0,,,46.0,69.0,66.0
565,3k,bounce,3.0,6.17,4.9,5.0,11.0,14.0
566,lcnl,bounced,2.0,,,11.0,23.0,19.0
567,3k,bound,1.0,9.0,3.09,0.0,7.0,11.0
568,unl,bounds,,,,1.0,0.0,2.0
569,unl,bourne,,,,,,
570,unl,bourse,,,,,,
571,3k,bout,6.0,11.83,2.83,1.0,2.0,1.0
572,lcnl,bouts,,,,,,
573,3k,bow,26.0,4.95,2.22,15.0,25.0,30.0
574,unl,bowed,5.0,,,3.0,14.0,11.0
575,3k,bowl,14.0,4.26,2.28,59.0,64.0,38.0
576,unl,bowled,,,,,,
577,unl,bowles,,,,,,
578,lcnl,bowls,5.0,,,1.0,6.0,7.0
579,lcnl,bows,2.0,,,2.0,6.0,5.0
580,3k,box,86.0,4.3,1.66,653.0,267.0,174.0
581,unl,boxed,,,,,,
582,3k,boy,129.0,3.67,1.88,952.0,675.0,614.0
583,unl,boyce,,,,,,
584,unl,boyd,,,,16.0,10.0,0.0
585,unl,boyle,,,,,,
586,unl,boyles,,,,,,
587,lcnl,boys,48.0,,,576.0,400.0,324.0
588,lcnl,bra,,8.21,2.18,,,
589,3k,brace,,7.89,1.78,0.0,7.0,7.0
